Position,Const,Created,Modified,Description,Name,Known For,Birth Date
281,nm0000152,2024-01-08,2024-01-08,"14788 points","Richard Gere","Chicago","31 августа 1949 г."
282,nm0631490,2024-01-08,2024-02-07,"14576 points","Bill Nighy","Love Actually","12 декабря 1949 г."
283,nm0004486,2024-01-08,2024-01-08,"14484 points","Bruno Ganz","Der Untergang","22 марта 1941 г."
284,nm0000842,2024-01-08,2024-01-08,"14481 points","Martin Balsam","All the President's Men","4 ноября 1919 г."
285,nm0124930,2024-01-08,2024-07-03,"14436 points","Gerard Butler","300","13 ноября 1969 г."
286,nm0001647,2024-01-08,2024-01-08,"14362 points","Claude Rains","Casablanca","10 ноября 1889 г."
287,nm0305558,2024-01-08,2024-01-08,"14240 points","Gael García Bernal","Mozart in the Jungle","30 ноября 1978 г."
288,nm0548686,2024-01-08,2024-01-08,"14118 points","Karl Markovics","Die Fälscher","29 августа 1963 г."
289,nm0001812,2024-01-08,2024-01-08,"14055 points","Lee Van Cleef","Escape from New York","9 января 1925 г."
290,nm0000007,2024-01-08,2024-01-08,"14044 points","Humphrey Bogart","Casablanca","25 декабря 1899 г."
291,nm2403277,2024-01-08,2024-03-09,"13990 points","Alden Ehrenreich","Hail, Caesar!","22 ноября 1989 г."
292,nm0857620,2024-01-08,2024-01-08,"13802 points","Justin Theroux","Mulholland Dr.","10 августа 1971 г."
293,nm0000216,2024-01-08,2024-01-08,"13769 points","Arnold Schwarzenegger","Terminator 2: Judgment Day","30 июля 1947 г."
294,nm1517976,2024-01-08,2024-01-08,"13604 points","Chris Pine","Star Trek","26 августа 1980 г."
295,nm0000286,2024-01-08,2024-01-08,"13533 points","Stephen Baldwin","The Usual Suspects","12 мая 1966 г."
296,nm0001258,2024-01-08,2024-01-08,"13326 points","James Garner","The Notebook","7 апреля 1928 г."
297,nm0000131,2024-01-08,2024-01-08,"13300 points","John Cusack","Grosse Pointe Blank","28 июня 1966 г."
298,nm0001673,2024-01-08,2024-01-08,"13149 points","Jason Robards","All the President's Men","26 июля 1922 г."
299,nm0005023,2024-01-08,2024-01-08,"13095 points","Djimon Hounsou","Blood Diamond","24 апреля 1964 г."
